gene_name,gene_id,gene_type,TSS,genomic_strand,chromosome_name,fpkm_median,tpm_median,fpkm_uq_median
ZFYVE1,ENSG00000165861,protein_coding,73493784,-,chr14,2.057554246458089,3.5299208699974214,2.2198345238853707
ZFYVE16,ENSG00000039319,protein_coding,79703862,+,chr5,-0.0161034553977048,1.4369613378336026,0.1527675192617688
ZFYVE19,ENSG00000166140,protein_coding,41099254,+,chr15,2.312432836809218,3.810186007695356,2.505382849062305
ZFYVE21,ENSG00000100711,protein_coding,104182105,+,chr14,1.6797840890655555,3.1697165971068424,1.832768518940375
ZFYVE26,ENSG00000072121,protein_coding,68283291,-,chr14,1.1085579101883545,2.5918947999179647,1.2381754185773757
ZFYVE27,ENSG00000155256,protein_coding,99496872,+,chr10,3.0099383195901583,4.489324562495094,3.142151997191489
ZFYVE28,ENSG00000159733,protein_coding,2420357,-,chr4,-0.331880875313568,1.1142337444270878,-0.1568201097428258
ZFYVE9,ENSG00000157077,protein_coding,52607718,+,chr1,1.7537328842219766,3.2001904442999822,1.9396779371147943
ZG16,ENSG00000174992,protein_coding,29789573,+,chr16,-5.486812479629145,-4.187050040544251,-5.333516069162574
ZG16B,ENSG00000162078,protein_coding,2880296,+,chr16,-1.5846739905630325,-0.0811558398107535,-1.4150374992788437
ZGLP1,ENSG00000220201,protein_coding,10416315,-,chr19,-1.6206008374744216,-0.1829498415674794,-1.4219791086976905
ZGPAT,ENSG00000197114,protein_coding,62339381,+,chr20,0.6526929891713023,2.121678556588253,0.8043840354413416
ZHX1,ENSG00000165156,protein_coding,124286495,-,chr8,2.610133076456062,4.063710012857559,2.8000819252384512
ZHX2,ENSG00000178764,protein_coding,123793988,+,chr8,3.8708578643637614,5.3974778397733925,4.089320175835375
ZHX3,ENSG00000174306,protein_coding,39946279,-,chr20,0.5837116228936641,2.0060466301184148,0.7289218272873139
ZIC1,ENSG00000152977,protein_coding,147127142,+,chr3,-1.8793826387820585,-0.4755350740350021,-1.7384090110358748
ZIC2,ENSG00000043355,protein_coding,100634031,+,chr13,-3.265344566520995,-1.8165452458250573,-3.100360306348953
ZIC3,ENSG00000156925,protein_coding,136648279,+,chrX,-6.687799537362322,-5.748553568441419,-6.587272661408358
ZIC4,ENSG00000174963,protein_coding,147110055,-,chr3,-3.970299765784581,-2.5916142085935863,-3.773984783597012
ZIC5,ENSG00000139800,protein_coding,100623375,-,chr13,-5.764150423492437,-4.684086034563258,-5.580353247468567
ZIK1,ENSG00000171649,protein_coding,58095501,+,chr19,0.8317151315178254,2.277300420365284,1.0040339012844897
ZKSCAN1,ENSG00000106261,protein_coding,99613212,+,chr7,3.138896363435321,4.583892104911633,3.324191349910892
ZKSCAN2,ENSG00000155592,protein_coding,25269134,-,chr16,-0.2014102607668962,1.2341947229538122,-0.0424567992428948
ZKSCAN3,ENSG00000189298,protein_coding,28317685,+,chr6,0.6711121749127755,2.181357027985289,0.8451086272301235
ZKSCAN4,ENSG00000187626,protein_coding,28220023,-,chr6,0.6340355973754617,2.09426985621925,0.794353478188584
ZKSCAN5,ENSG00000196652,protein_coding,99102865,+,chr7,1.5656946519558057,3.0489510773671444,1.7273541536808414
ZMAT1,ENSG00000166432,protein_coding,101186981,-,chrX,-0.6871025271027431,0.7310963296145311,-0.544140190613815
ZMAT2,ENSG00000146007,protein_coding,140080022,+,chr5,5.188013136328518,6.660930042591283,5.393611832470842
ZMAT3,ENSG00000172667,protein_coding,178789566,-,chr3,0.8862769946170849,2.3915752744746634,1.107888694552972
ZMAT4,ENSG00000165061,protein_coding,40755333,-,chr8,-4.961282892427146,-3.601211852366231,-4.869859864663551
ZMAT5,ENSG00000100319,protein_coding,30162924,-,chr22,1.8206487193571883,3.2881518152352607,2.030512652025287
ZMIZ1,ENSG00000108175,protein_coding,80828712,+,chr10,4.193708673382424,5.715956500798647,4.39789877334209
ZMIZ2,ENSG00000122515,protein_coding,44788430,+,chr7,4.441450280216834,5.909401103871184,4.637604450395548
ZMPSTE24,ENSG00000084073,protein_coding,40723874,+,chr1,4.130782640118537,5.612031012078232,4.322699730340155
ZMYM1,ENSG00000197056,protein_coding,35544975,+,chr1,1.054084392842379,2.544831551945885,1.2413520857706588
ZMYM2,ENSG00000121741,protein_coding,20532850,+,chr13,2.225305782727023,3.702845901414619,2.396159489073155
ZMYM3,ENSG00000147130,protein_coding,70473957,-,chrX,4.033740139327991,5.547169085851641,4.215507761461947
ZMYM4,ENSG00000146463,protein_coding,35734264,+,chr1,3.501655692400282,4.955094224913094,3.6773052697166033
ZMYM5,ENSG00000132950,protein_coding,20437772,-,chr13,1.2917214204578913,2.735522177296537,1.4642500339114042
ZMYM6,ENSG00000163867,protein_coding,35497283,-,chr1,0.2614706390127819,1.7355221772965377,0.4632039204286244
ZMYND10,ENSG00000004838,protein_coding,50383096,-,chr3,0.9210554212223324,2.3328511220721544,1.075258784055846
ZMYND11,ENSG00000015171,protein_coding,181370,+,chr10,3.825093619051904,5.261327710404597,3.9890754110969815
ZMYND12,ENSG00000066185,protein_coding,42921677,-,chr1,1.731400498562429,3.1138004976658062,1.8566272116983904
ZMYND15,ENSG00000141497,protein_coding,4643118,+,chr17,0.972030884141332,2.4464150499591764,1.1600166078459049
ZMYND19,ENSG00000165724,protein_coding,140484917,-,chr9,3.270274766460989,4.70533656135594,3.468257468323141
ZMYND8,ENSG00000101040,protein_coding,45985431,-,chr20,3.8600390979583823,5.333509605874314,4.016514148444474
ZNF10,ENSG00000256223,protein_coding,133707204,+,chr12,0.3099910392600687,1.743773453784316,0.5267699513548159
ZNF100,ENSG00000197020,protein_coding,21950362,-,chr19,1.0324535372259591,2.484653747733565,1.2223718112600772
ZNF101,ENSG00000181896,protein_coding,19779619,+,chr19,0.9164766444377164,2.3867281891249914,1.1180274225907938
ZNF107,ENSG00000196247,protein_coding,64126503,+,chr7,0.8793136763108873,2.3490538302144643,1.0718313020653043
ZNF114,ENSG00000178150,protein_coding,48774586,+,chr19,-2.1221772381715254,-0.7095755961347003,-1.9562355576898296
ZNF117,ENSG00000152926,protein_coding,64467057,-,chr7,0.892196710465485,2.322735777980096,1.1002376143457375
ZNF12,ENSG00000164631,protein_coding,6746529,-,chr7,2.3855690875300586,3.8843634762074313,2.606418538363368
ZNF121,ENSG00000197961,protein_coding,9695169,-,chr19,2.432184418488527,3.902498122737511,2.5788662747037434
ZNF124,ENSG00000196418,protein_coding,247321249,-,chr1,0.4348817194071346,1.8478365981997773,0.6255510510793123
ZNF131,ENSG00000172262,protein_coding,43120995,+,chr5,1.9709272593526617,3.434348000692569,2.1291181280893223
ZNF132,ENSG00000131849,protein_coding,58951496,-,chr19,0.4492179921398964,1.8860818538719184,0.5986510478846079
ZNF133,ENSG00000125846,protein_coding,18269151,+,chr20,1.6968840908554546,3.169572299544774,1.8596913157380723
ZNF134,ENSG00000213762,protein_coding,58125580,+,chr19,2.138388542376619,3.55407307275236,2.302757715638036
ZNF135,ENSG00000176293,protein_coding,58570605,+,chr19,0.5687131490760813,2.056930288382672,0.7895206036003115
ZNF136,ENSG00000196646,protein_coding,12273866,+,chr19,1.2055801887752482,2.6818090508564936,1.410829519122241
ZNF138,ENSG00000197008,protein_coding,64254793,+,chr7,2.000432743603972,3.527783497326449,2.168513676197494
ZNF14,ENSG00000105708,protein_coding,19843900,-,chr19,1.981377764113018,3.468700604518854,2.1691232814767574
ZNF140,ENSG00000196387,protein_coding,133657477,+,chr12,1.44752630116891,2.9384175388400724,1.6318958590538044
ZNF141,ENSG00000131127,protein_coding,331578,+,chr4,0.5576796588916857,2.093593978368052,0.8079318846891247
ZNF142,ENSG00000115568,protein_coding,219524310,-,chr2,1.8967755898793728,3.413377445267708,2.0892269420703955
ZNF143,ENSG00000166478,protein_coding,9482551,+,chr11,1.9413317144373807,3.392028854912834,2.1178612422023257
ZNF146,ENSG00000167635,protein_coding,36706024,+,chr19,4.711346224309057,6.166227368407985,4.902218324060214
ZNF148,ENSG00000163848,protein_coding,125094077,-,chr3,2.651269873332948,4.132149070350988,2.8032890420526195
ZNF154,ENSG00000179909,protein_coding,58220517,-,chr19,-1.0588936890535685,0.403376806687082,-0.8905725733138459
ZNF155,ENSG00000204920,protein_coding,44488330,+,chr19,-1.3161688255986774,0.1904252273692713,-1.1231196628370834
ZNF16,ENSG00000170631,protein_coding,146176199,-,chr8,1.9496096337388684,3.4597988033716307,2.1430994943366346
ZNF160,ENSG00000170949,protein_coding,53606636,-,chr19,1.339992484247724,2.8064684227941137,1.5146020264420406
ZNF165,ENSG00000197279,protein_coding,28048343,+,chr6,0.9475539532074104,2.396049857625031,1.1239972036919104
ZNF169,ENSG00000175787,protein_coding,97021572,+,chr9,-0.2541173110977407,1.200378797984026,-0.0811558398107535
ZNF17,ENSG00000186272,protein_coding,57922521,+,chr19,0.3341105678447527,1.8505994238126395,0.5217543189880067
ZNF174,ENSG00000103343,protein_coding,3451184,+,chr16,1.9236436253457023,3.4259157816053887,2.110363243360418
ZNF175,ENSG00000105497,protein_coding,52074502,+,chr19,0.3715031052044353,1.8199542419699584,0.5692966455616444
ZNF177,ENSG00000188629,protein_coding,9434962,+,chr19,-6.429731384421878,-5.392894616241506,-6.333516069162574
ZNF18,ENSG00000154957,protein_coding,11900745,-,chr17,1.0644690173684423,2.532616190882695,1.2376860791201654
ZNF180,ENSG00000167384,protein_coding,45004556,-,chr19,0.7142235335741917,2.1506896432473206,0.9293365340068886
ZNF181,ENSG00000197841,protein_coding,35225121,+,chr19,0.6972400481829175,2.140909506541662,0.8400401827266069
ZNF182,ENSG00000147118,protein_coding,47863348,-,chrX,0.9291850142839232,2.393169048442921,1.1469158480872752
ZNF184,ENSG00000096654,protein_coding,27440837,-,chr6,1.6649378774417525,3.1466715126219005,1.8449078373951568
ZNF185,ENSG00000147394,protein_coding,152110218,+,chrX,3.561326136453918,5.0900785357865255,3.762529539885627
ZNF189,ENSG00000136870,protein_coding,104161123,+,chr9,2.064434525824818,3.5692480298671825,2.2650167489662203
ZNF19,ENSG00000157429,protein_coding,71518504,-,chr16,-1.3324257340249812,0.1248574672557598,-1.175924643748438
ZNF195,ENSG00000005801,protein_coding,3400340,-,chr11,1.1680001245178202,2.670205845544553,1.3549034611356432
ZNF197,ENSG00000186448,protein_coding,44666519,+,chr3,0.9746027302107182,2.431195034889899,1.179447353720102
ZNF20,ENSG00000132010,protein_coding,12267524,-,chr19,-2.772012541265407,-1.331336222299779,-2.5855396941839017
ZNF200,ENSG00000010539,protein_coding,3285144,-,chr16,0.2305719419046518,1.6724706022824245,0.3818370839060473
ZNF202,ENSG00000166261,protein_coding,123612319,-,chr11,1.5889004876991326,3.0435194936627425,1.787432464516868
ZNF205,ENSG00000122386,protein_coding,3162557,+,chr16,2.894313338044432,4.327141220859997,3.093458764793043
ZNF207,ENSG00000010244,protein_coding,30677160,+,chr17,3.061154063207101,4.538240157974276,3.24214516084958
ZNF208,ENSG00000160321,protein_coding,22193731,-,chr19,-1.6980612330346638,-0.223474848578088,-1.505533185718241
ZNF211,ENSG00000121417,protein_coding,58144529,+,chr19,0.8126214395770921,2.2646265027995747,0.9955930561143432
ZNF212,ENSG00000170260,protein_coding,148936732,+,chr7,2.7316611637716823,4.229264895152433,2.901282051223974
ZNF213,ENSG00000085644,protein_coding,3185125,+,chr16,2.488437884923426,3.934044647112245,2.643163529903427
ZNF214,ENSG00000149050,protein_coding,7041554,-,chr11,-1.27299444968944,0.1714630560025809,-1.1124747292584125
ZNF215,ENSG00000149054,protein_coding,6947720,+,chr11,-3.7312063248775216,-2.313297789743922,-3.501442751900983
ZNF217,ENSG00000171940,protein_coding,52210368,-,chr20,4.206760422567862,5.6447936369139775,4.397091020172427
ZNF219,ENSG00000165804,protein_coding,21566731,-,chr14,2.798693413143975,4.259618993578323,2.955033761174233
ZNF22,ENSG00000165512,protein_coding,45496346,+,chr10,3.651430618019368,5.144976314376349,3.865225996284432
ZNF221,ENSG00000159905,protein_coding,44455368,+,chr19,-2.439872023918736,-0.961563818343892,-2.2778837621813413
ZNF222,ENSG00000159885,protein_coding,44529479,+,chr19,-0.3707133304666423,1.0464910601940334,-0.2191020227701728
ZNF223,ENSG00000178386,protein_coding,44556158,+,chr19,-2.076432432067441,-0.6150660534248237,-1.886299500835272
ZNF225,ENSG00000256294,protein_coding,44617538,+,chr19,-0.9331874901000984,0.5348584514007184,-0.7245161073327123
ZNF226,ENSG00000167380,protein_coding,44669221,+,chr19,0.4422269452218182,1.931304843650669,0.6289135426617863
ZNF227,ENSG00000131115,protein_coding,44716678,+,chr19,0.3305584000308022,1.8385484415255284,0.5226584206342786
ZNF23,ENSG00000167377,protein_coding,71496112,-,chr16,-4.066125258284645,-2.628608416075788,-3.865647613376637
ZNF230,ENSG00000159882,protein_coding,44507091,+,chr19,-0.6155080555854161,0.8272499622434906,-0.4268193972106268
ZNF232,ENSG00000167840,protein_coding,5015129,-,chr17,1.21890513195676,2.6853795519590755,1.4271234059439837
ZNF233,ENSG00000159915,protein_coding,44764031,+,chr19,-0.9907961726701604,0.406971970816723,-0.8437328369481963
ZNF235,ENSG00000159917,protein_coding,44809143,-,chr19,-1.3419027946486284,0.1054098940400814,-1.1665026631401652
ZNF236,ENSG00000130856,protein_coding,74534479,+,chr18,0.3508366648108814,1.747473335740478,0.5252670917020327
ZNF239,ENSG00000196793,protein_coding,44070016,-,chr10,2.1750454861109136,3.669899830828215,2.35772089561481
ZNF24,ENSG00000172466,protein_coding,32924372,-,chr18,2.951009556583642,4.4022583009217815,3.1079723634857674
ZNF248,ENSG00000198105,protein_coding,38146510,-,chr10,1.3729520979118293,2.8993883446299864,1.538389168496613
ZNF25,ENSG00000175395,protein_coding,38265517,-,chr10,1.2073306531380612,2.69017122414934,1.362273494920745
ZNF251,ENSG00000198169,protein_coding,145980808,-,chr8,2.676899238931741,4.16320887603813,2.8704436340768886
ZNF253,ENSG00000256771,protein_coding,19976683,+,chr19,1.995665409736109,3.401575859380174,2.175524601089875
ZNF254,ENSG00000213096,protein_coding,24216213,+,chr19,1.345339597609687,2.840584082842715,1.533812496827667
ZNF256,ENSG00000152454,protein_coding,58459047,-,chr19,1.5382401579742766,3.068464450966906,1.75779134113757
ZNF257,ENSG00000197134,protein_coding,22235279,+,chr19,0.2326607567902748,1.7425667905976563,0.4266404775044604
ZNF26,ENSG00000198393,protein_coding,133562959,+,chr12,-0.4619585466663364,1.024816096497542,-0.276659879748829
ZNF260,ENSG00000254004,protein_coding,37019136,-,chr19,2.5664011567984124,4.041120298865943,2.748482701520504
ZNF263,ENSG00000006194,protein_coding,3333443,+,chr16,1.9236436253457023,3.391135302668066,2.085900490369472
ZNF264,ENSG00000083844,protein_coding,57702846,+,chr19,1.3311319222172022,2.845048393213837,1.491032129609288
ZNF266,ENSG00000174652,protein_coding,9546177,-,chr19,2.2685242223514126,3.72700555031056,2.453412221098066
ZNF267,ENSG00000185947,protein_coding,31885093,+,chr16,0.8230155999936223,2.297660986541404,1.0272248395138923
ZNF268,ENSG00000090612,protein_coding,133758072,+,chr12,0.4344547602324028,1.8889282915845644,0.6369145803558778
ZNF273,ENSG00000198039,protein_coding,64363638,+,chr7,0.3829438695689903,1.7883098510821496,0.5398288106230532
ZNF274,ENSG00000171606,protein_coding,58694421,+,chr19,1.228110634405181,2.724824868736797,1.422986450566717
ZNF275,ENSG00000063587,protein_coding,152599604,+,chrX,2.51767883549196,4.004905829477478,2.717210299019596
ZNF276,ENSG00000158805,protein_coding,89787937,+,chr16,0.4433944748385841,1.8902521151570688,0.5947396223326862
ZNF277,ENSG00000198839,protein_coding,111846741,+,chr7,2.156105329782888,3.6246741145311634,2.3365119155127623
ZNF28,ENSG00000198538,protein_coding,53324884,-,chr19,1.4223406604749629,2.9419138438425336,1.6195069177151271
ZNF280A,ENSG00000169548,protein_coding,22874610,-,chr22,-3.446934455954395,-2.022097333064992,-3.214909845005242
ZNF280C,ENSG00000056277,protein_coding,129402866,-,chrX,0.5138949467649272,2.0019463248313376,0.693408896525396
ZNF280D,ENSG00000137871,protein_coding,57025675,-,chr15,0.0771062441059786,1.5377433450485056,0.2362170641022201
ZNF281,ENSG00000162702,protein_coding,200379129,-,chr1,2.3191843669419354,3.772286858073167,2.5099744742954786
ZNF282,ENSG00000170265,protein_coding,148892653,+,chr7,4.090777229757016,5.55869621492702,4.227071009556587
ZNF283,ENSG00000167637,protein_coding,44331493,+,chr19,-0.7560872411268256,0.7681631474465839,-0.5775516877665356
ZNF286A,ENSG00000187607,protein_coding,15602875,+,chr17,-0.1470423491343473,1.314870508536833,0.0014419741739063
ZNF287,ENSG00000141040,protein_coding,16472486,-,chr17,-0.593789891468435,0.887681229342992,-0.4054514504496458
ZNF292,ENSG00000188994,protein_coding,87865262,+,chr6,1.0278617753545094,2.480652891184842,1.246651302999629
ZNF296,ENSG00000170684,protein_coding,45579725,-,chr19,1.5319677773976814,2.951363988152844,1.7139157211071625
ZNF3,ENSG00000166526,protein_coding,99679324,-,chr7,3.066261442268722,4.559351085451281,3.273157782375881
ZNF30,ENSG00000168661,protein_coding,35417798,+,chr19,0.2722621249742957,1.7319217818926216,0.4466797112284494
ZNF300,ENSG00000145908,protein_coding,150284532,-,chr5,1.1410403454335931,2.5305452349249338,1.3588463306050986
ZNF302,ENSG00000089335,protein_coding,35168567,+,chr19,2.449033060026763,3.866601409957816,2.6576857317427764
ZNF304,ENSG00000131845,protein_coding,57862622,+,chr19,1.6468999486219478,3.098369023474907,1.852558222573036
ZNF311,ENSG00000197935,protein_coding,28973090,-,chr6,0.1019189597110716,1.5708514834229197,0.2963105607080923
ZNF317,ENSG00000130803,protein_coding,9251081,+,chr19,3.0009915120473853,4.476854731021154,3.206565086304124
ZNF318,ENSG00000171467,protein_coding,43337180,-,chr6,1.816640662519667,3.3213220356888464,1.993420758412885
ZNF319,ENSG00000166188,protein_coding,58032371,-,chr16,2.174630124385663,3.636462217589564,2.371140629519923
ZNF32,ENSG00000169740,protein_coding,44144292,-,chr10,3.8355097956143536,5.265834422584029,4.001991347567195
ZNF320,ENSG00000182986,protein_coding,53400852,-,chr19,1.3892914620069725,2.796369330015273,1.5475978915125224
ZNF324,ENSG00000083812,protein_coding,58978418,+,chr19,0.7781244517856325,2.264206119610228,0.9501697658975654
ZNF324B,ENSG00000249471,protein_coding,58962974,+,chr19,0.1849784596933307,1.6806394196398533,0.3525325566728963
ZNF326,ENSG00000162664,protein_coding,90460661,+,chr1,1.3127232518998562,2.7840223062164915,1.4837255052531586
ZNF329,ENSG00000181894,protein_coding,58662139,-,chr19,1.4165155043474935,2.944839709386642,1.630358872052713
ZNF330,ENSG00000109445,protein_coding,142142035,+,chr4,3.1960876559319886,4.682988967339692,3.4015212501086007
ZNF331,ENSG00000130844,protein_coding,54058073,+,chr19,0.9970394395538432,2.421317567933183,1.14326279303862
ZNF333,ENSG00000160961,protein_coding,14800849,+,chr19,0.1802751896118795,1.647544769708967,0.3370830763107874
ZNF334,ENSG00000198185,protein_coding,45142154,-,chr20,0.4960020863654431,2.000288510158124,0.6778915569605322
ZNF335,ENSG00000198026,protein_coding,44600810,-,chr20,2.210357690922764,3.685357123568013,2.344402441462261
ZNF337,ENSG00000130684,protein_coding,25677465,-,chr20,-1.104076998076231,0.374510925768391,-0.9213901653036336
ZNF33A,ENSG00000189180,protein_coding,38299546,+,chr10,2.703720889700991,4.174326515173916,2.872493897253184
ZNF33B,ENSG00000196693,protein_coding,43134001,-,chr10,1.700883556028269,3.16370803669232,1.871331124817165
ZNF34,ENSG00000196378,protein_coding,146012660,-,chr8,1.6736468722545477,3.125518859575092,1.8495589802120385
ZNF341,ENSG00000131061,protein_coding,32319784,+,chr20,1.1096280099385991,2.5965774050524515,1.2844549080942589
ZNF343,ENSG00000088876,protein_coding,2489542,-,chr20,1.2989515164680523,2.730031232996037,1.4424392936238637
ZNF345,ENSG00000251247,protein_coding,37341752,+,chr19,0.4558598093861849,1.912074971468242,0.6121165522248829
ZNF346,ENSG00000113761,protein_coding,176449684,+,chr5,1.3417011639273897,2.778944457587666,1.5150563947333056
ZNF347,ENSG00000197937,protein_coding,53662295,-,chr19,0.0801118598615981,1.5473511124556456,0.2667565623046645
ZNF35,ENSG00000169981,protein_coding,44690211,+,chr3,1.896155575885028,3.364124146720622,2.033229160785111
ZNF350,ENSG00000256683,protein_coding,52490043,-,chr19,1.0343565966466417,2.481453950595318,1.2002532315936874
ZNF354A,ENSG00000169131,protein_coding,178157651,-,chr5,2.0723459437576626,3.553864252657443,2.2469552650429523
ZNF354B,ENSG00000178338,protein_coding,178286925,+,chr5,0.885496273216524,2.3398215049233424,1.078951341394822
ZNF354C,ENSG00000177932,protein_coding,178487354,+,chr5,-0.2532572842222638,1.1807207507231052,-0.0594949372560148
ZNF358,ENSG00000198816,protein_coding,7580944,+,chr19,4.71298088790203,6.187496582927383,4.915769455025983
ZNF362,ENSG00000160094,protein_coding,33722080,+,chr1,4.547967980967267,6.078370731898802,4.731568850229601
ZNF365,ENSG00000138311,protein_coding,64134120,+,chr10,-2.3838305338132693,-0.967758068862506,-2.190338610559227
ZNF366,ENSG00000178175,protein_coding,71803177,-,chr5,-3.179187922771281,-1.7360041179287609,-3.006941609418847
ZNF367,ENSG00000165244,protein_coding,99180617,-,chr9,1.1553606628392024,2.662524543845487,1.3459072748976006
ZNF37A,ENSG00000075407,protein_coding,38383255,+,chr10,0.9468057061905398,2.407896548749528,1.1634987322828794
ZNF382,ENSG00000161298,protein_coding,37096194,+,chr19,-0.5885737542735351,0.8633041593427985,-0.396308382884427
ZNF383,ENSG00000188283,protein_coding,37709076,+,chr19,0.2904244038652995,1.7476451925608232,0.4914939808721646
ZNF384,ENSG00000126746,protein_coding,6798410,-,chr12,3.2810750492774745,4.7828645774021545,3.4307536044348685
ZNF385A,ENSG00000161642,protein_coding,54778471,-,chr12,3.7026353820065534,5.218025530796929,3.884607688695935
ZNF385B,ENSG00000144331,protein_coding,180726291,-,chr2,-3.5462453931483027,-2.1942948151614887,-3.367359524134368
ZNF385C,ENSG00000187595,protein_coding,40180680,-,chr17,-0.8780562664895988,0.6430249580134368,-0.6915226234050392
ZNF385D,ENSG00000151789,protein_coding,21792682,-,chr3,-4.791857352662278,-3.446934455954395,-4.633076351021482
ZNF391,ENSG00000124613,protein_coding,27356745,+,chr6,1.0663303372349908,2.5360529002402097,1.2462864639921492
ZNF394,ENSG00000160908,protein_coding,99097863,-,chr7,1.4625758880422042,2.9435088011617365,1.6468078077922257
ZNF395,ENSG00000186918,protein_coding,28243661,-,chr8,3.138765329950971,4.59093130959972,3.296927216274796
ZNF396,ENSG00000186496,protein_coding,32957260,-,chr18,-0.6239319288663144,0.8282253603588845,-0.4008726736650301
ZNF397,ENSG00000186812,protein_coding,32820990,+,chr18,1.149974681619381,2.565645914728265,1.3330229294328824
ZNF398,ENSG00000197024,protein_coding,148844516,+,chr7,1.8461924097082023,3.342213373458323,1.983933016358921
ZNF404,ENSG00000176222,protein_coding,44384235,-,chr19,-0.084211427188055,1.434935080420619,0.1344838215107938
ZNF407,ENSG00000215421,protein_coding,72265084,+,chr18,-0.4530438218585886,1.025170575734906,-0.2523977697250569
ZNF408,ENSG00000175213,protein_coding,46722560,+,chr11,2.698640777055442,4.15746416536319,2.883034235655152
ZNF41,ENSG00000147124,protein_coding,47342565,-,chrX,1.5340616024211184,2.9897929777825136,1.655947103739834
ZNF410,ENSG00000119725,protein_coding,74353530,+,chr14,-3.702749878828293,-2.3075728019102923,-3.564904848379902
ZNF414,ENSG00000133250,protein_coding,8579030,-,chr19,3.6013280711974938,5.052633255886124,3.7538291376857273
ZNF415,ENSG00000170954,protein_coding,53636125,-,chr19,1.4127273385916428,2.890271574090322,1.5561105525814631
ZNF416,ENSG00000083817,protein_coding,58090240,-,chr19,1.3252712707959595,2.783435700031727,1.531917887364275
ZNF417,ENSG00000173480,protein_coding,58427951,-,chr19,0.1979911657351336,1.6659384540998587,0.3965979315748995
ZNF418,ENSG00000196724,protein_coding,58446721,-,chr19,0.3331947163358879,1.835681584121711,0.5173260921560116
ZNF419,ENSG00000105136,protein_coding,57999101,+,chr19,-0.1424170446158519,1.3358262239404963,0.0739572999433244
ZNF420,ENSG00000197050,protein_coding,37569314,+,chr19,1.0284277045726673,2.5496691707264905,1.1611782500798125
ZNF423,ENSG00000102935,protein_coding,49698178,-,chr16,0.6405283852959444,2.033722522390653,0.7957669477823923
ZNF425,ENSG00000204947,protein_coding,148823387,-,chr7,0.841087511295934,2.320253597243422,1.050954373205158
ZNF426,ENSG00000130818,protein_coding,9649268,-,chr19,1.5255176770535892,2.94341502893787,1.7172980515235543
ZNF428,ENSG00000131116,protein_coding,44123734,-,chr19,3.383524592319736,4.828250752543214,3.585503409947348
ZNF429,ENSG00000197013,protein_coding,21688387,+,chr19,1.4259426286868668,2.888129516432306,1.5887566042820933
ZNF43,ENSG00000198521,protein_coding,22018966,-,chr19,1.8377414522493405,3.2906750547772385,2.031042243358572
ZNF430,ENSG00000118620,protein_coding,21203451,+,chr19,0.5887086399540508,2.0739230345012363,0.7484612330040356
ZNF431,ENSG00000196705,protein_coding,21324829,+,chr19,0.5609105608798884,2.009812944941121,0.7231653434575851
ZNF432,ENSG00000256087,protein_coding,52552051,-,chr19,0.8782152571490357,2.341985747228616,1.054987357919956
ZNF433,ENSG00000197647,protein_coding,12146483,-,chr19,0.4796444745762355,1.9488998206663013,0.6595592729108991
ZNF436,ENSG00000125945,protein_coding,23694794,-,chr1,2.509037042352887,3.97678520038566,2.7155200221565345
ZNF438,ENSG00000183621,protein_coding,31320777,-,chr10,1.1758758509770646,2.6167576059436266,1.3189241640300764
ZNF439,ENSG00000171291,protein_coding,11959532,+,chr19,0.9146410570098266,2.425700986966183,1.1419558855836445
ZNF44,ENSG00000197857,protein_coding,12405645,-,chr19,1.1017845241669322,2.577416742581645,1.2543521627339929
ZNF440,ENSG00000171295,protein_coding,11925071,+,chr19,1.7527057808300923,3.2377931363098726,1.9551639876169504
ZNF441,ENSG00000197044,protein_coding,11877838,+,chr19,0.3171882775965016,1.7805620761710597,0.5172252925024586
ZNF442,ENSG00000198342,protein_coding,12476443,-,chr19,-1.6831591504704124,-0.2327689629761244,-1.5513104482311597
ZNF443,ENSG00000180855,protein_coding,12551785,-,chr19,1.101582847359322,2.516368210976138,1.2341947229538122
ZNF444,ENSG00000167685,protein_coding,56652643,+,chr19,2.826009441491653,4.286385875450497,2.982765462583646
ZNF445,ENSG00000185219,protein_coding,44519131,-,chr3,0.4964112164754913,1.9848080620270656,0.6983073935146263
ZNF446,ENSG00000083838,protein_coding,58987500,+,chr19,0.487280529383726,1.928957704857615,0.6628435174980626
ZNF449,ENSG00000173275,protein_coding,134478706,+,chrX,0.1553606628392023,1.6003173350146205,0.3302141772493015
ZNF45,ENSG00000124459,protein_coding,44439420,-,chr19,0.9465062986890213,2.4381065136182034,1.1099622533988185
ZNF451,ENSG00000112200,protein_coding,56954919,+,chr6,0.7317914787171277,2.172743516760187,0.9441087991079548
ZNF454,ENSG00000178187,protein_coding,178368186,+,chr5,-0.0918788295938619,1.3339961181964528,0.0783365711211787
ZNF460,ENSG00000197714,protein_coding,57791806,+,chr19,-0.8999642788381562,0.5874610073779383,-0.7312063248775211
ZNF461,ENSG00000197808,protein_coding,37157713,-,chr19,1.0910566126274777,2.5804831995848945,1.2800654863616352
ZNF462,ENSG00000148143,protein_coding,109625401,+,chr9,0.9641398296119638,2.437866900870151,1.1668439644124908
ZNF467,ENSG00000181444,protein_coding,149470641,-,chr7,4.3538031685985725,5.846741516387711,4.497376048272175
ZNF468,ENSG00000204604,protein_coding,53360870,-,chr19,1.5909612413425993,3.065985829498586,1.7488046909370685
